"gameId","playId","nflId","tackle","assist","forcedFumble","pff_missedTackle","gpnfl.x","displayName","frameId","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event","gpnfl.y","tkl_gameId","tkl_playId","tkl_nflId","tkl_displayName","tkl_frameId","tkl_time","tkl_jerseyNumber","tkl_club","tkl_playDirection","tkl_x","tkl_y","tkl_s","tkl_a","tkl_dis","tkl_o","tkl_dir","tkl_event","tkl_gpnfl"
2022090800,101,42816,1,0,0,0,"202209080010142816","Troy Hill",45,"2022-09-08 20:25:12.599999",2,"LA","left",69.08,39.5,1.8,4.97,0.2,210.96,198.3,"tackle","202209080010142816",2022090800,101,53079,"Reggie Gilliam",45,"2022-09-08 20:25:12.599999",41,"BUF","left",67.98,46.28,3.11,1.64,0.31,223.49,276.07,"tackle","202209080010153079"
2022090800,393,46232,1,0,0,0,"202209080039346232","Tim Settle",52,"2022-09-08 20:36:03.700000",99,"BUF","right",53.06,20.15,1.68,1.91,0.18,233.55,159.4,"tackle","202209080039346232",2022090800,393,47952,"David Edwards",52,"2022-09-08 20:36:03.700000",73,"LA","right",52.98,20.61,1.85,1.31,0.19,128.73,133.94,"tackle","202209080039347952"
2022090800,486,40166,1,0,0,0,"202209080048640166","Jordan Poyer",25,"2022-09-08 20:37:58.700000",21,"BUF","right",60.74,20.49,2.31,1.13,0.23,30.26,308.98,"tackle","202209080048640166",2022090800,486,NA,"football",25,"2022-09-08 20:37:58.700000",NA,"football","right",60.3899993896484,20.2800006866455,3.52999997138977,2.10999989509583,0.330000013113022,NA,NA,"tackle","2022090800486NA"
2022090800,646,47939,1,0,0,0,"202209080064647939","Justin Hollins",34,"2022-09-08 20:44:55.799999",58,"LA","left",58.4,2.59,3.35,2.96,0.36,268.37,200.44,"tackle","202209080064647939",2022090800,646,NA,"football",34,"2022-09-08 20:44:55.799999",NA,"football","left",57.6800003051758,1.94000005722046,3.36999988555908,2.73000001907349,0.349999994039536,NA,NA,"tackle","2022090800646NA"
2022090800,818,40107,1,0,0,0,"202209080081840107","Micah Hyde",26,"2022-09-08 20:53:28.000000",23,"BUF","left",80.88,6.83,0.2,2.9,0,252.36,159.39,"tackle","202209080081840107",2022090800,818,47853,"Darrell Henderson",26,"2022-09-08 20:53:28.000000",27,"LA","left",79.49,5.91,1.44,1.65,0.14,114.01,224.04,"tackle","202209080081847853"
2022090800,1736,44976,1,0,0,0,"2022090800173644976","Matt Milano",27,"2022-09-08 21:32:43.299999",58,"BUF","left",42.47,29.61,4.02,3.78,0.41,175.96,175.93,"tackle","2022090800173644976",2022090800,1736,NA,"football",27,"2022-09-08 21:32:43.299999",NA,"football","left",42.0999984741211,29.6900005340576,4.34000015258789,1.57000005245209,0.479999989271164,NA,NA,"tackle","20220908001736NA"
2022090800,2860,46085,1,0,0,0,"2022090800286046085","Tremaine Edmunds",18,"2022-09-08 22:34:51.400000",49,"BUF","left",72.02,35.89,1.83,4.21,0.18,7.22,291.8,"tackle","2022090800286046085",2022090800,2860,53678,"Ben Skowronek",18,"2022-09-08 22:34:51.400000",18,"LA","left",72.38,18.18,3.42,1.29,0.35,358.6,353.3,"tackle","2022090800286053678"
2022090800,3145,52647,1,0,0,0,"2022090800314552647","Dane Jackson",46,"2022-09-08 22:49:23.500000",30,"BUF","left",77.71,30.09,2.04,1.79,0.2,92.7,166.09,"tackle","2022090800314552647",2022090800,3145,34452,"Matthew Stafford",46,"2022-09-08 22:49:23.500000",9,"LA","left",78.29,37.68,1.37,2.47,0.14,244.17,270.84,"tackle","2022090800314534452"
2022090800,3362,46190,1,0,0,0,"2022090800336246190","Taron Johnson",29,"2022-09-08 22:56:45.200000",7,"BUF","left",84.17,21.8,3.64,3.23,0.36,134.55,26.25,"tackle","2022090800336246190",2022090800,3362,46158,"Joseph Noteboom",29,"2022-09-08 22:56:45.200000",70,"LA","left",84.45,19.54,1.98,0.52,0.19,290.91,268.68,"tackle","2022090800336246158"
2022090800,3383,54488,1,0,0,0,"2022090800338354488","Kaiir Elam",30,"2022-09-08 22:57:14.299999",24,"BUF","left",77.46,40.06,2.23,1.54,0.22,269.36,237.7,"tackle","2022090800338354488",2022090800,3383,44881,"Cooper Kupp",30,"2022-09-08 22:57:14.299999",10,"LA","left",76.8,39.87,2.12,1.34,0.21,194.24,241.34,"tackle","2022090800338344881"
