"gameId","playId","nflId","tackle","assist","forcedFumble","pff_missedTackle","gpnfl.x","displayName","frameId","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event","gpnfl.y","tkl_gameId","tkl_playId","tkl_nflId","tkl_displayName","tkl_frameId","tkl_time","tkl_jerseyNumber","tkl_club","tkl_playDirection","tkl_x","tkl_y","tkl_s","tkl_a","tkl_dis","tkl_o","tkl_dir","tkl_event","tkl_gpnfl","tkl_dist"
2022090800,101,42816,1,0,0,0,"202209080010142816","Troy Hill",45,"2022-09-08 20:25:12.599999",2,"LA","left",69.08,39.5,1.8,4.97,0.2,210.96,198.3,"tackle","202209080010142816",2022090800,101,44875,"Dion Dawkins",45,"2022-09-08 20:25:12.599999",73,"BUF","left",70.4,40.37,3.23,3.03,0.33,307.36,323.71,"tackle","202209080010144875",1.58091745515065
2022090800,393,46232,1,0,0,0,"202209080039346232","Tim Settle",52,"2022-09-08 20:36:03.700000",99,"BUF","right",53.06,20.15,1.68,1.91,0.18,233.55,159.4,"tackle","202209080039346232",2022090800,393,47952,"David Edwards",52,"2022-09-08 20:36:03.700000",73,"LA","right",52.98,20.61,1.85,1.31,0.19,128.73,133.94,"tackle","202209080039347952",0.466904701197152
2022090800,486,40166,1,0,0,0,"202209080048640166","Jordan Poyer",25,"2022-09-08 20:37:58.700000",21,"BUF","right",60.74,20.49,2.31,1.13,0.23,30.26,308.98,"tackle","202209080048640166",2022090800,486,44881,"Cooper Kupp",25,"2022-09-08 20:37:58.700000",10,"LA","right",60.37,20.34,3.36,1.49,0.33,181.32,312.61,"tackle","202209080048644881",0.399249295553546
2022090800,646,47939,1,0,0,0,"202209080064647939","Justin Hollins",34,"2022-09-08 20:44:55.799999",58,"LA","left",58.4,2.59,3.35,2.96,0.36,268.37,200.44,"tackle","202209080064647939",2022090800,646,NA,"football",34,"2022-09-08 20:44:55.799999",NA,"football","left",57.6800003051758,1.94000005722046,3.36999988555908,2.73000001907349,0.349999994039536,NA,NA,"tackle","2022090800646NA",0.96999973513416
2022090800,818,40107,1,0,0,0,"202209080081840107","Micah Hyde",26,"2022-09-08 20:53:28.000000",23,"BUF","left",80.88,6.83,0.2,2.9,0,252.36,159.39,"tackle","202209080081840107",2022090800,818,47853,"Darrell Henderson",26,"2022-09-08 20:53:28.000000",27,"LA","left",79.49,5.91,1.44,1.65,0.14,114.01,224.04,"tackle","202209080081847853",1.66688331925183
2022090800,1736,44976,1,0,0,0,"2022090800173644976","Matt Milano",27,"2022-09-08 21:32:43.299999",58,"BUF","left",42.47,29.61,4.02,3.78,0.41,175.96,175.93,"tackle","2022090800173644976",2022090800,1736,NA,"football",27,"2022-09-08 21:32:43.299999",NA,"football","left",42.0999984741211,29.6900005340576,4.34000015258789,1.57000005245209,0.479999989271164,NA,NA,"tackle","20220908001736NA",0.37855146889454
2022090800,2860,46085,1,0,0,0,"2022090800286046085","Tremaine Edmunds",18,"2022-09-08 22:34:51.400000",49,"BUF","left",72.02,35.89,1.83,4.21,0.18,7.22,291.8,"tackle","2022090800286046085",2022090800,2860,44881,"Cooper Kupp",18,"2022-09-08 22:34:51.400000",10,"LA","left",71.64,36.31,2.44,4.83,0.27,312.96,275.57,"tackle","2022090800286044881",0.56639209034025
2022090800,3145,52647,1,0,0,0,"2022090800314552647","Dane Jackson",46,"2022-09-08 22:49:23.500000",30,"BUF","left",77.71,30.09,2.04,1.79,0.2,92.7,166.09,"tackle","2022090800314552647",2022090800,3145,53678,"Ben Skowronek",46,"2022-09-08 22:49:23.500000",18,"LA","left",76.66,29.16,0.04,0.07,0.16,93.77,353.75,"tackle","2022090800314553678",1.40264036730731
2022090800,3362,46190,1,0,0,0,"2022090800336246190","Taron Johnson",29,"2022-09-08 22:56:45.200000",7,"BUF","left",84.17,21.8,3.64,3.23,0.36,134.55,26.25,"tackle","2022090800336246190",2022090800,3362,NA,"football",29,"2022-09-08 22:56:45.200000",NA,"football","left",84.7900009155273,21.8199996948242,2.75999999046326,3.76999998092651,0.280000001192093,NA,NA,"tackle","20220908003362NA",0.62032340198299
2022090800,3383,54488,1,0,0,0,"2022090800338354488","Kaiir Elam",30,"2022-09-08 22:57:14.299999",24,"BUF","left",77.46,40.06,2.23,1.54,0.22,269.36,237.7,"tackle","2022090800338354488",2022090800,3383,44881,"Cooper Kupp",30,"2022-09-08 22:57:14.299999",10,"LA","left",76.8,39.87,2.12,1.34,0.21,194.24,241.34,"tackle","2022090800338344881",0.686804193347709
2022091100,1260,44851,1,0,0,0,"2022091100126044851","Marcus Maye",51,"2022-09-11 14:02:13.299999",6,"NO","left",78.73,21.78,3.19,1.49,0.32,279.02,285.71,"tackle","2022091100126044851",2022091100,1260,NA,"football",51,"2022-09-11 14:02:13.299999",NA,"football","left",78.4599990844727,21.1200008392334,2.05999994277954,1.44000005722046,0.219999998807907,NA,NA,"tackle","20220911001260NA",0.713091429340027
2022091100,1672,40017,1,0,0,0,"2022091100167240017","Tyrann Mathieu",32,"2022-09-11 14:18:53.700000",32,"NO","left",43.35,13.64,1.03,0.97,0.1,205.38,203.53,"tackle","2022091100167240017",2022091100,1672,NA,"football",32,"2022-09-11 14:18:53.700000",NA,"football","left",42.4900016784668,13.539999961853,1.98000001907349,1.95000004768372,0.209999993443489,NA,NA,"tackle","20220911001672NA",0.865792770049121
2022091100,2114,53469,1,0,0,0,"2022091100211453469","Richie Grant",49,"2022-09-11 14:45:43.099999",27,"ATL","left",64.53,32.52,0.61,3.35,0.05,206.11,327.84,"tackle","2022091100211453469",2022091100,2114,42356,"Andrus Peat",49,"2022-09-11 14:45:43.099999",75,"NO","left",64.92,33.98,1.7,1.13,0.18,228.04,298.48,"tackle","2022091100211442356",1.51119158282462
2022091100,2353,38607,1,0,0,0,"2022091100235338607","Demario Davis",43,"2022-09-11 14:55:03.400000",56,"NO","right",55.15,9.98,1.85,2.9,0.2,2.74,163.21,"tackle","2022091100235338607",2022091100,2353,39975,"Cordarrelle Patterson",43,"2022-09-11 14:55:03.400000",84,"ATL","right",55.68,10.02,2.06,3.62,0.22,180.48,170.34,"tackle","2022091100235339975",0.531507290636734
2022091100,2512,53611,1,0,0,0,"2022091100251253611","Adetokunbo Ogundeji",51,"2022-09-11 15:02:19.200000",92,"ATL","left",68.53,50.15,2.28,4.15,0.25,257.22,314.53,"tackle","2022091100251253611",2022091100,2512,45244,"Taysom Hill",51,"2022-09-11 15:02:19.200000",7,"NO","left",66.17,50.44,4,2.34,0.41,262.05,307.24,"tackle","2022091100251245244",2.37775103827125
2022091100,2640,44862,1,0,0,0,"2022091100264044862","Justin Evans",48,"2022-09-11 15:05:54.799999",30,"NO","right",95.86,15.32,4.95,3.77,0.5,147,157.39,"tackle","2022091100264044862",2022091100,2640,42345,"Marcus Mariota",48,"2022-09-11 15:05:54.799999",1,"ATL","right",95.91,14.43,5.18,4.68,0.52,142.22,143.26,"tackle","2022091100264042345",0.891403387922662
2022091100,2878,53489,1,0,0,0,"2022091100287853489","Pete Werner",43,"2022-09-11 15:17:06.299999",20,"NO","right",74.62,28.59,0.51,0.07,0.05,338.74,158.76,"tackle","2022091100287853489",2022091100,2878,NA,"football",43,"2022-09-11 15:17:06.299999",NA,"football","right",74.5999984741211,29.0499992370605,0.150000005960464,0.479999989271164,0.0199999995529652,NA,NA,"tackle","20220911002878NA",0.460433881392027
2022091100,2899,37097,1,0,0,0,"2022091100289937097","Cameron Jordan",42,"2022-09-11 15:17:29.700000",94,"NO","right",78.05,35.63,1.05,1.4,0.11,8.56,66.21,"tackle","2022091100289937097",2022091100,2899,53612,"Avery Williams",42,"2022-09-11 15:17:29.700000",35,"ATL","right",77.81,35.84,0.57,0.71,0.06,34.11,39.68,"tackle","2022091100289953612",0.318904374382036
2022091100,3578,52542,1,0,0,0,"2022091100357852542","Jaylinn Hawkins",14,"2022-09-11 15:44:20.599999",32,"ATL","right",80.55,22.72,1.05,4.67,0.13,157.63,219.91,"tackle","2022091100357852542",2022091100,3578,NA,"football",14,"2022-09-11 15:44:20.599999",NA,"football","right",81.3300018310547,23.25,2.13000011444092,0.970000028610229,0.219999998807907,NA,NA,"tackle","20220911003578NA",0.943028555478938
